Code,Omschrijving,Groep,Titel
I20179.05,NEN-ISO 20179:2005 en,Norm water-chemisch,Water - Bepaling van microcystinen - Methode met vastefase- extractie (SPE) en hogeprestatievloeistofchromatografie (HPLC) met ultravioletdetectie (UV)
I20279.05,ISO 20279:2005 en,Norm bodem-chemisch,Bodem - Extractie en bepaling van thallium door electrothermische atomaire absorptiespectrometrie
I20280.07,ISO 20280:2007 en,Norm bodem-chemisch,"Bodem - Bepaling van arseen, antimoon en seleen in koningswater bodemextracten met elektrothermische of hydridegeneratie atomaire absorptiespectrometrie"
I21427-1.06,NEN-ISO 21427-1:2006 en,Norm water-biologisch,Water - Evaluatie van genotoxiciteit door meting van de inductie van micronuclei - Deel 1: Evaluatie van genotoxiciteit met behulp van amfibische larven
I21427-2.06,NEN-ISO 21427-2:2006 en,Norm water-biologisch,"Water - Evaluatie van genotoxiciteit door meting van de inductie van micronuclei - Deel 2: """"Gemengde populatie""""-methode met gebruik van de cellijn V79"
I22032.06,ISO 22032:2006 en,Norm water-chemisch,Water - Bepaling van geselecteerde polybroomdifenylethers in sediment en rioleringsslib - Methode met extractie en gaschromatografie/massaspectrometrie
I22036.08,ISO 22036:2008 en,Norm bodem-chemisch,Bodem  Bepaling van spoorelementen in bodemextracten met inductief gekoppeld plasma-atomaire emissiespectrometrie (ICP-AES)
I22155.05,NEN-ISO 22155:2005 en,Norm vervallen,Bodem - Gaschromatografische kwantitatieve bepaling van vluchtige aromatische en gehalogeneerde koolwaterstoffen en geselecteerde ethers - Statische 'headspace' methode
I22155.11,NEN-ISO 22155:2011en,Norm bodem-chemisch,"Bodem - Gaschromatografische bepaling van vluchtige aromatische en gehalogeneerde koolwaterstoffen en geselecteerde ethers - Statische """"headspace"""" methode"
I22478.06,NEN-EN-ISO 22478:2006 en,Norm water-chemisch,Water - Bepaling van bepaalde explosieven en verwante stoffen - Methode met hogeprestatievloeistofchromatografie (HPLC) en UV-detectie
I22743.06,NEN-ISO 22743:2006 en,Norm water-chemisch,Water - Bepaling van sulfaat met een doorstroomanalysesysteem (CFA)
